model,scorer,orig_acc,orig_ci_low,orig_ci_high,para_acc,para_ci_low,para_ci_high,drop
Mistral-7B,Causal partial full-continuation,0.735,0.6698229773344888,0.7913193998839003,0.635,0.5663157405897017,0.6985958378123518,0.09999999999999998
CamemBERT-base,Masked (average PLL),0.455,0.38748099090226035,0.5242151496303886,0.47,0.4020463337087108,0.5390844266463886,-0.014999999999999958
XLM-RoBERTa-base,Masked (average PLL),0.56,0.4907154834956251,0.6270229957941764,0.545,0.4757848503696115,0.6125190090977398,0.015000000000000013
